Apartment Name,Average Rating,Latitude,Longitude,Price,Discount,Save money,Character,Room Type,Pets_allowed,Free canceled,Amenities,URL
Room in Pittsburgh,4.95 (303),40.37002,-79.91957,$55,Yes,7,Colorful eco nugget,private_room,No,No,,https://airbnb.com/rooms/38132798
Guesthouse in Pittsburgh,4.96 (215),40.37189,-80.03886,$97,No,0,Cozy Mt Leb Carriage Hse | Kitchen | T to Stadium,entire_home,No,No,,https://airbnb.com/rooms/6923935
Room in Pittsburgh,5.0 (15),40.44052,-79.85576,$47,No,0,McCutchen Suite at the Castle,private_room,No,No,,https://airbnb.com/rooms/1211833305565904161
Room in Pittsburgh,4.85 (616),40.4312,-79.92353,$49,Yes,5,Quiet private room upstairs in Squirrel Hill,private_room,No,No,,https://airbnb.com/rooms/21212513
Home in Pittsburgh,5.0 (10),40.4323549,-80.0085781,$333,Yes,127,Luxury Home With Incredible View,entire_home,No,Yes,,https://airbnb.com/rooms/1199368500425178264
Condo in Pittsburgh,New,40.45424,-80.02502,$99,Yes,60,Short walk to Acrisure stadium,entire_home,No,Yes,,https://airbnb.com/rooms/1206820687285829454
Home in Pittsburgh,4.74 (202),40.43216,-80.01996,$89,Yes,10,Olympia Place MT Washington.,entire_home,No,No,,https://airbnb.com/rooms/39338581
Apartment in Pittsburgh,4.93 (127),40.40901,-80.02548,$83,No,0,Free parking ⁕ Affordable Stay ⁕ 5 min to Downtown,entire_home,No,No,,https://airbnb.com/rooms/866148204463281780
Apartment in Pittsburgh,4.92 (53),40.50289,-80.07093,$105,Yes,13,Vintage Haven,entire_home,No,Yes,,https://airbnb.com/rooms/42451544
Apartment in Pittsburgh,4.93 (44),40.42782357565913,-79.98727384954691,$72,Yes,19,Sarah St Rowhome #3 1bd|1ba,entire_home,No,No,,https://airbnb.com/rooms/959274845509747036
Room in Pittsburgh,4.88 (103),40.40943,-80.02091,$35,No,0,Little Paris-Twin Bed Room,private_room,No,No,,https://airbnb.com/rooms/29708874
Apartment in Pittsburgh,4.54 (337),40.44257,-80.00697,$108,Yes,13,River View Two Double Beds at  Pittsburgh Downtown,entire_home,No,Yes,,https://airbnb.com/rooms/825672836572972606
Home in Pittsburgh,4.9 (21),40.45493,-79.80103,$160,No,0,Cozy three bedroom home close to shopping and more,entire_home,No,No,,https://airbnb.com/rooms/800910668480526129
Apartment in Pittsburgh,4.95 (258),40.49683,-80.05075,$92,Yes,15,"The Pittsburgh Suite *Free Parking, 10mins-DWNTWN",entire_home,No,Yes,,https://airbnb.com/rooms/22462997
Townhouse in Carnegie,5.0 (91),40.39831,-80.14056,$89,No,0,"Near Everything! Safe, Clean, and Convenient",entire_home,No,No,,https://airbnb.com/rooms/660890194066526193
Apartment in Pittsburgh,4.8 (123),40.4545,-80.02175,$71,No,0,Comfortable and Walkable | Off-Street Parking,entire_home,No,No,,https://airbnb.com/rooms/50281202
Apartment in Pittsburgh,4.94 (283),40.42339,-79.98494,$95,Yes,10,✨Million Dollar View ✨Spacious Studio✨‼️🌆,entire_home,No,No,,https://airbnb.com/rooms/49920027
Condo in Pittsburgh,5.0 (43),40.39433,-80.04706,$112,No,0,Charming South Hills Apartment located near parks,entire_home,No,No,,https://airbnb.com/rooms/643248576312975545
Home in Pittsburgh,4.9 (61),40.36389,-80.03611,$144,Yes,22,Cozy Bright Mt. Leb Cottage | 2 m to T to Stadiums,entire_home,No,No,,https://airbnb.com/rooms/642896706220122829
Apartment in Pittsburgh,4.95 (20),40.4275361,-79.9695622,$60,Yes,18,Spacious Two Bedrooms Apartment,entire_home,No,No,,https://airbnb.com/rooms/976397250545696005
Apartment in Pittsburgh,4.94 (295),40.46188,-79.94164,$74,No,0,Cozy Entire Apt 4-Friendship Park *free parking*,entire_home,No,Yes,,https://airbnb.com/rooms/38510070
Home in Pittsburgh,5.0 (4),40.42672,-79.97392,$76,No,0,Iron City of South Side Flats,entire_home,No,Yes,,https://airbnb.com/rooms/1199579808176382532
Apartment in Pittsburgh,4.69 (223),40.46442,-79.95128,$90,Yes,15,Apt 10 Bloomfield/ Lawrenceville private mini 1 br,entire_home,No,Yes,,https://airbnb.com/rooms/31220366
Apartment in Pittsburgh,4.95 (43),40.46223,-79.93051,$88,No,0,New King Suite by Whole Foods!,entire_home,No,Yes,,https://airbnb.com/rooms/1126254369528952768
Home in Pittsburgh,5.0 (7),40.47484,-79.97098,$153,Yes,17,"Stylish & Bright 3Bd Home, Amazing Deck, Game Room",entire_home,No,No,,https://airbnb.com/rooms/1229759619508387648
Guest suite in West Mifflin,4.98 (139),40.37366,-79.93109,$105,No,0,"Hilltop Suite, Quiet Street",entire_home,No,Yes,,https://airbnb.com/rooms/719439013537259670
